text,answers,คำพิพากษาศาลฎีกาที่
"โจทก์ฟ้องขอให้พิพากษาบังคับจำเลยที่ 1 ไปจดทะเบียนหย่ากับโจทก์ ให้จำเลยที่ 1 แบ่งสินสมรสกึ่งหนึ่งแก่โจทก์ ให้จำเลยที่ 2 ชำระค่าทดแทน 50,000 บาท พร้อมดอกเบี้ยร้อยละ 7.5 ต่อปี นับแต่มีคำพิพากษาจนกว่าจะชำระเสร็จแก่โจทก์ ให้นายอดิศักดิ์และเด็กชายชลสิทธิ์ บุตรผู้เยาว์อยู่ในความอุปการะเลี้ยงดูของโจทก์ ให้จำเลยที่ 1 จ่ายค่าเลี้ยงดูบุตรทั้งสอง คนละ 5,000 บาท ต่อเดือน จนกว่าจะบรรลุนิติภาวะแก่โจทก์ ศาลชั้นต้นพิพากษาให้โจทก์หย่าขาดจากจำเลยที่ 1 ให้โจทก์เป็นผู้ใช้อำนาจปกครองบุตรผู้เยาว์ คือ นายอดิศักดิ์และเด็กชายชลสิทธิ์ แต่เพียงผู้เดียว ให้จำเลยที่ 1 แบ่งสินสมรสที่ดินสวนยางพาราพิพาทเนื้อที่ 60 ไร่ พร้อมสิ่งปลูกสร้างบ้านพักเลขที่ 139/2 หมู่ที่ 2 ตำบลปากหมาก อำเภอไชยา จังหวัดสุราษฎร์ธานี ที่ดินสวนปาล์มน้ำมันพิพาทเนื้อที่ประมาณ 15 ไร่ หมู่ที่ 2 ตำบลปากหมาก อำเภอไชยา จังหวัดสุราษฎร์ธานี และรถยนต์กระบะหมายเลขทะเบียน กจ 9725 สุราษฎร์ธานี 1 คัน แก่โจทก์กึ่งหนึ่ง หากจำเลยที่ 1 ไม่ยอมแบ่งหรือแบ่งไม่ได้ให้แจ้งเจ้าพนักงานบังคับคดีนำสินสมรสดังกล่าวออกขายทอดตลาดแล้วนำเงินที่ได้แบ่งให้โจทก์กึ่งหนึ่ง กับให้จำเลยที่ 1 ชำระค่าอุปการะค่าเลี้ยงดูนายอดิศักดิ์และเด็กชายชลสิทธิ์ บุตรผู้เยาว์ทั้งสองคนละ 5,000 บาท ต่อเดือน และให้จำเลยที่ 2 ชำระค่าทดแทนแก่โจทก์ 50,000 บาท พร้อมดอกเบี้ยอัตราร้อยละ 7.5 ต่อปี นับแต่วันที่มีคำพิพากษาเป็นต้นไปจนกว่าจำเลยที่ 2","142, 1533, 264",10361/2557
"โจทก์เป็นนิติบุคคลประเภทบริษัทจำกัด จดทะเบียนตามกฎหมายของเขตบริหารพิเศษฮ่องกง ประเทศสาธารณรัฐประชาชนจีน จำเลยเป็นกรรมการผู้มีอำนาจคนหนึ่งของบริษัทปัญจพล พัลพ์ อินดัสตรี้ จำกัด (มหาชน) เดิมบริษัทปัญจพล พัลพ์ อินดัสตรี้ จำกัด (มหาชน) เป็นลูกหนี้ธนาคารเอเชีย จำกัด (มหาชน) ในมูลหนี้เลตเตอร์ออฟเครดิต ทรัสต์รีซีท และตั๋วเงิน โดยจดทะเบียนจำนองเครื่องจักรจำนวน 16 เครื่อง หมายเลขทะเบียน 40-308-208-0001 ถึง 40-308-208-0016 ไว้เป็นประกันหนี้ และมีจำเลยเป็นผู้ค้ำประกันการชำระหนี้ดังกล่าว วันที่ 17 มีนาคม 2542 ธนาคารเอเชีย จำกัด (มหาชน) ฟ้องบริษัทปัญจพล พัลพ์ อินดัสตรี้ จำกัด (มหาชน) และจำเลยกับพวกให้ร่วมกันชำระหนี้และบังคับจำนอง 2 คดี คดีแรกที่ศาลทรัพย์สินทางปัญญาและการค้าระหว่างประเทศกลาง คดีที่ 2 ที่ศาลแพ่งกรุงเทพใต้ ต่อมาธนาคารเอเชีย จำกัด (มหาชน) เปลี่ยนชื่อเป็นธนาคารยูโอบี จำกัด (มหาชน) วันที่ 12 เมษายน 2550 ธนาคารยูโอบี จำกัด (มหาชน) โอนสิทธิเรียกร้องในหนี้พร้อมหลักประกันให้แก่บริษัทบริหารสินทรัพย์ เอแคป จำกัด และนายทะเบียนเครื่องจักรกลางรับจดทะเบียนโอนสิทธิรับจำนองเครื่องจักรทั้งสิบหกเครื่องเป็นชื่อบริษัทบริหารสินทรัพย์ เอแคป จำกัดแล้ว วันที่ 22 กันยายน 2553 ศาลล้มละลายกลางมีคำสั่งพิทักษ์ทรัพย์ชั่วคราว บริษัทปัญจพล พัลพ์ อินดัสตรี้ จำกัด (มหาชน) ลูกหนี้ และวันที่ 15 ธันวาคม 2554 มีคำสั่งให้ฟื้นฟูกิจการ วันที่ 22 พฤศจิกายน 2553 บริษัทบริหารสินทรัพย์ เอแคป จำกัด โอนสิทธิเรียกร้องในหนี้พร้อมหลักประกันให้แก่บริษัทบริหารสินทรัพย์ แสตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด และนายทะเบียนเครื่องจักรกลางรับจดทะเบียนโอนสิทธิรับจำนองเครื่องจักรทั้งสิบหกเครื่องเป็นชื่อบริษัทบริหารสินทรัพย์ แสตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด แล้ว วันที่ 3 มีนาคม 2554 บริษัทบริหารสินทรัพย์ แสตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด โอนสิทธิเรียกร้องหนี้พร้อมหลักประกันดังกล่าวให้แก่โจทก์ วันที่ 8 มิถุนายน 2554 โจทก์ยื่นคำร้องขอจดทะเบียนโอนสิทธิรับจำนองเครื่องจักรทั้งสิบหกเครื่องต่อนายทะเบียนเครื่องจักรกลาง วันที่ 19 กรกฎาคม 2554 จำเลยยื่นคำร้องคัดค้าน
โจทก์ฟ้องขอให้บังคับจำเลยถอนคำร้องคัดค้านการจดทะเบียนโอนสิทธิรับจำนองเครื่องจักรของบริษัทปัญจพลพัลพ์ อินดัสตรี้ จำกัด (มหาชน) ที่ยื่นต่อนายทะเบียนเครื่องจักรกลางทุกฉบับ หากจำเลยไม่ถอน ให้ถือเอาคำพิพากษาแทนการแสดงเจตนาของจำเลย
","150, 303, 306",438/2559
"โจทก์ร่วมเป็นนิติบุคคลตามพระราชบัญญัติจัดระเบียบทรัพย์สินฝ่ายพระมหากษัตริย์ พ.ศ.2479, 2484 และ 2491 มีอำนาจหน้าที่ดูแลรักษาและจัดประโยชน์เกี่ยวกับสำนักงานทรัพย์สินส่วนพระมหากษัตริย์ มีนายจิรายุ เป็นผู้อำนวยการมีอำนาจกระทำการแทนโจทก์ร่วม โจทก์ร่วมเป็นเจ้าของกรรมสิทธิ์ที่ดินโฉนดเลขที่ 3008 ตำบลปทุมวัน อำเภอปทุมวัน กรุงเทพมหานคร และอาคารศูนย์การค้าเวิลด์เทรดเซ็นเตอร์เลขที่ 4 และ 4/1 - 2 ซึ่งปลูกสร้างบนที่ดิน เดิมโจทก์ร่วมได้ให้บริษัทวังเพชรบูรณ์ จำกัด เช่าที่ดินบางส่วนและอาคารศูนย์การค้า จำเลยได้ทำสัญญาเช่าห้องหมายเลข บี 614 ชั้นที่ 6 ซึ่งเป็นพื้นที่ส่วนหนึ่งของอาคารศูนย์การค้าจากบริษัทเวิลด์เทรด พลาซ่า จำกัด ซึ่งเป็นบริวารของบริษัทวังเพชรบูรณ์ จำกัด ต่อมาโจทก์ร่วมได้บอกเลิกสัญญาเช่าต่อบริษัทวังเพชรบูรณ์ จำกัด และให้ส่งมอบสถานที่เช่าคืน สิทธิการเช่าของบริษัทวังเพชรบูรณ์ จำกัด รวมถึงจำเลยและผู้เช่าช่วงรายอื่นๆ จึงสิ้นสุดลง โจทก์ร่วมได้จดทะเบียนการเช่าให้โจทก์เป็นผู้เช่าที่ดินบางส่วนและอาคารศูนย์การค้าดังกล่าวแต่เพียงผู้เดียว แต่โจทก์ไม่สามารถเข้าครอบครองและใช้ประโยชน์ห้องหมายเลขดังกล่าวที่จำเลยครอบครองได้ การกระทำของจำเลยเป็นการละเมิดต่อโจทก์และโจทก์ร่วม เป็นเหตุให้โจทก์และโจทก์ร่วมได้รับความเสียหาย ขอให้บังคับจำเลยขนย้ายทรัพย์สินและบริวารและส่งมอบห้องพิพาทให้แก่โจทก์ร่วมในสภาพเรียบร้อย ห้ามจำเลยและบริวารเข้าเกี่ยวข้องกับห้องพิพาทอีกต่อไป
ศาลชั้นต้นพิพากษาให้จำเลยและบริวารขนย้ายทรัพย์สินออกไปจากห้องเช่าเลขที่ บี 614 ชั้นที่ 6 ในอาคารเวิลด์เทรดเซ็นเตอร์ ตั้งอยู่เลขที่ 4 และเลขที่ 4/1 - 2 ถนนราชดำริ แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร ให้จำเลยชดใช้ค่าเสียหายแก่โจทก์เดือนละ 10,000 บาท นับจากวันที่ 1 มกราคม 2546 เป็นต้นไปจนกว่าจำเลยจะขนย้ายทรัพย์สินและบริวารออกไปจากห้องพิพาท กับให้จำเลยชดใช้ค่าฤชาธรรมเนียมแทนโจทก์ กำหนดค่าทนายความ 5,000 บาท ข้อเท็จจริงรับฟังได้ในเบื้องต้นว่า บริษัทวังเพชรบูรณ์ จำกัด ทำสัญญาเช่าที่ดินจากโจทก์ร่วมเพื่อสร้างอาคารศูนย์การค้าและโรงแรมและตกลงให้สิ่งปลูกสร้างตกเป็นของโจทก์ร่วมโดยยินยอมให้บริษัทวังเพชรบูรณ์ จำกัด นำที่ดินและสิ่งปลูกสร้างออกให้เช่าช่วงได้ แต่ข้อตกลงนี้ไม่ได้จดทะเบียนต่อพนักงานเจ้าหน้าที่บริษัทวังเพชรบูรณ์ จำกัด ตกลงให้บริษัทเวิลด์เทรด พลาซ่า จำกัด นำสิ่งปลูกสร้างออกให้เช่าช่วงและจำเลยเช่าห้องพิพาทจากบริษัทดังกล่าว ต่อมาบริษัทวังเพชรบูรณ์ จำกัด ผิดสัญญาเช่า โจทก์ร่วมกับบริษัทวังเพชรบูรณ์ จำกัด จึงตกลงเลิกสัญญาเช่าต่อกัน หลังจากนั้นโจทก์ร่วมได้จดทะเบียนการเช่าให้โจทก์เป็นผู้เช่าที่ดินบางส่วนและอาคารศูนย์การค้าเป็นเวลา 30 ปี","477, 549",990/2558
"เดิมบริษัทกรุงเทพฯ วนิชชาเท็กซ์ไทล์ จำกัด เป็นเจ้าของและผู้ครอบครองที่ดินและสิ่งปลูกสร้าง ครั้งแรกโจทก์ประสงค์จะเช่าที่ดินและสิ่งปลูกสร้างของบริษัทดังกล่าว แต่เนื่องจากบริษัทดังกล่าวมีเหตุขัดข้องเนื่องจากมีหนี้สินเป็นจำนวนมาก จึงทำหนังสือยินยอมให้สิทธิแก่จำเลยที่ 1 เป็นผู้มีสิทธิใช้สอยที่ดินและสิ่งปลูกสร้างตามฟ้อง และจำเลยที่ 1 เป็นผู้ทำสัญญาให้โจทก์เช่าที่ดินและสิ่งปลูกสร้างตามฟ้องดังกล่าวมีข้อตกลงตามสัญญาเช่าโรงงาน โดยครั้งแรกกำหนดระยะเวลาการเช่า 3 ปี นับแต่วันที่ 1 ตุลาคม 2545 เป็นต้นไปโดยกำหนดค่าเช่าเดือนละ 120,000 บาท และโจทก์วางเงินประกันความเสียหายให้แก่จำเลยที่ 1 เป็นเงิน 350,000 บาท เมื่อครบกำหนดเวลาการเช่าครั้งแรก โจทก์ทำสัญญาเช่าที่ดินและสิ่งปลูกสร้างตามฟ้องกับจำเลยที่ 1 ครั้งที่ 2 มีกำหนดเวลา 3 ปี นับแต่วันที่ 1 ตุลาคม 2548 คิดค่าเช่าเดือนละ 144,000 บาท โดยมีข้อตกลงให้นำเงินประกันความเสียหายตามสัญญาเช่าฉบับแรกมาเป็นเงินประกันความเสียหายตามสัญญาเช่าฉบับที่ 2 ต่อมาวันที่ 27 ธันวาคม 2549 โจทก์ทำสัญญาเช่าที่ดินเพิ่มเติมพร้อมอาคารโรงงานและโกดังอีกบางส่วนจากจำเลยที่ 1 นับแต่วันที่ 18 มกราคม 2550 ถึงวันที่ 30 กันยายน 2551 คิดค่าเช่าในส่วนที่เช่าเพิ่มเติมอีกเดือนละ 30,000 บาท และโจทก์วางเงินประกันความเสียหายตามสัญญาเช่าที่เพิ่มขึ้นใหม่นี้อีก 60,000 บาท ต่อมาวันที่ 17 สิงหาคม 2548 บรรษัทบริหารสินทรัพย์ไทยรับโอนกรรมสิทธิ์ที่ดินและสิ่งปลูกสร้างดังกล่าวจากเจ้าหนี้ของบริษัทกรุงเทพฯ วนิชชาเท็กซ์ไทล์ จำกัด แล้วนำที่ดินและสิ่งปลูกสร้างดังกล่าวตามฟ้องออกขายทอดตลาดเมื่อวันที่ 23 พฤษภาคม 2551 และโจทก์เข้าประมูลราคาจากการขายทอดตลาดดังกล่าวและซื้อที่ดินพร้อมสิ่งปลูกสร้างซึ่งเดิมเป็นของบริษัทกรุงเทพฯ วนิชชาเท็กซ์ไทล์ จำกัด ได้ โจทก์เห็นว่าเมื่อโจทก์ซื้อที่ดินและสิ่งปลูกสร้างดังกล่าวตามฟ้องได้แล้ว กรรมสิทธิ์จึงตกแก่โจทก์ โจทก์จึงบอกเลิกการเช่าที่ดินและสิ่งปลูกสร้างตามฟ้อง และเรียกให้จำเลยที่ 1 คืนเงินประกันความเสียหายที่โจทก์วางไว้ตามสัญญาเช่าเดิมจำนวน 410,000 บาท แต่จำเลยที่ 1 ไม่คืนเงินประกันความเสียหายจำนวนดังกล่าวแก่โจทก์","569, 1336",18514/2557
การที่นายถิรายุ ผู้เอาประกันภัยกับจำเลยตกลงค่าเสียหายในส่วนรถยนต์คันที่โจทก์รับประกันภัยตามบันทึกการชดใช้ค่าสินไหมทดแทน และจำเลยชำระเงินให้แก่นายถิรายุครบถ้วนตามข้อตกลงแล้ว มีผลทำให้สิทธิเรียกร้องของนายถิรายุระงับสิ้นไป,"226, 880",3397/2558
"จำเลยที่ 2 เป็นนิติบุคคลประเภทบริษัทจำกัด ประกอบธุรกิจรับประกันชีวิต จำเลยที่ 1 เป็นตัวแทนประกันชีวิตของจำเลยที่ 2 ประจำสาขาสลกบาตร จังหวัดกำแพงเพชร และได้รับมอบอำนาจจากจำเลยที่ 2 ให้รับเบี้ยประกันภัยในนามจำเลยที่ 2 อีกด้วย โจทก์ทำสัญญาประกันชีวิตกับจำเลยที่ 2 แบบธนทรัพย์ 20/20 (มีเงินปันผล) เบี้ยประกันภัยปีละ 15,317 บาท ประมาณเดือนธันวาคม 2547 จำเลยที่ 1 เสนอขายผลิตภัณฑ์ของจำเลยที่ 2 แก่โจทก์และโจทก์ตกลงพร้อมกับมอบเงิน 1,087,000 บาท ให้แก่จำเลยที่ 1 และนางสาวฑาริกา บุตรโจทก์ได้ไปให้แพทย์ตรวจสุขภาพเพื่อนำไปใช้ประกอบการพิจารณารับประกันภัยของจำเลยที่ 2 ต่อมาจำเลยที่ 1 นำกรมธรรม์ประกันชีวิตที่จำเลยที่ 2 ออกให้มามอบให้โจทก์เป็นกรมธรรม์ประกันชีวิตแบบธนทวี 14/7 (มีเงินปันผล) วันเริ่มสัญญาประกันภัยวันที่ 27 ธันวาคม 2547 ระบุว่า นางสาวฑาริกาเป็นผู้เอาประกันภัย จำนวนเงินเอาประกันภัย 2,500,000 บาท เบี้ยประกันภัยปีละ 551,500 บาท ต่อมาโจทก์ได้มีหนังสือลงวันที่ 7 พฤศจิกายน 2548 ถึงนางละไม ตัวแทนประกันชีวิตของจำเลยที่ 2 ซึ่งเป็นผู้บังคับบัญชาจำเลยที่ 1 และอยู่ทีมงานเดียวกันร้องเรียนเกี่ยวกับเรื่องการทำงานของจำเลยที่ 1 กรณีที่รับเงินไปจากโจทก์แล้วไม่ได้รับกรมธรรม์ตามที่ตกลงกันไว้ โจทก์และนางสาวฑาริกาได้มายื่นเรื่องขอยกเลิกกรมธรรม์ประกันชีวิตอ้างว่า จำเลยที่ 1 ไม่ได้กระทำตามที่เสนอว่าเป็นการฝากเงินเพื่อรับดอกเบี้ย แต่กรมธรรม์ที่ได้รับเป็นการประกันชีวิตตามแบบฟอร์มการใช้สิทธิยกเลิกกรมธรรม์ ในเดือนกุมภาพันธ์ 2549 โจทก์ได้เดินทางไปร้องเรียนการกระทำของจำเลยที่ 1 ที่สำนักงานใหญ่ของจำเลยที่ 2 และตรวจสอบพบว่ามีการนำเงินของโจทก์ไปซื้อกรมธรรม์ประกันชีวิตในชื่อโจทก์นอกจากกรมธรรม์ประกันชีวิตเป็นเงิน 221,800 บาท แต่โจทก์ยังไม่ได้รับกรมธรรม์ประกันชีวิต จำเลยที่ 2 จึงได้แจ้งยกเลิกกรมธรรม์ประกันชีวิตที่โจทก์ยังไม่ได้รับ จำเลยที่ 2 ได้คืนเงินจำนวนดังกล่าวให้แก่โจทก์ ต่อมาจำเลยที่ 2 มีหนังสือแจ้งผลการพิจารณาและคืนเงินที่เหลือให้แก่โจทก์อีก 313,700 บาท เนื่องจากโจทก์มีหลักฐานการมอบเงินให้จำเลยที่ 1 จำเลยที่ 2 ได้ไปร้องเรียนต่อสำนักงานประกันภัยจังหวัดกำแพงเพชรได้มีการเรียกโจทก์และจำเลยที่ 2 มาเจรจา แต่ไม่อาจตกลงกันได้ ต่อมาจำเลยที่ 2 ได้แจ้งความร้องทุกข์ให้ดำเนินคดีแก่จำเลยที่ 1 กล่าวหาว่า จำเลยที่ 1 ยักยอกเงินของจำเลยที่ 2 โจทก์ได้ให้การเป็นพยานต่อพนักงานสอบสวนด้วย จำเลยที่ 2 มีหนังสือแจ้งให้โจทก์ทราบว่าไม่สามารถยกเลิกกรมธรรม์ประกันชีวิตได้ สำหรับจำเลยที่ 1 โจทก์ไม่อุทธรณ์ คดีสำหรับจำเลยที่ 1 จึงยุติไปตามคำพิพากษาศาลชั้นต้น
","156, 172, 412",534/2559
"เจ้าหนี้ยื่นคำขอรับชำระหนี้ในมูลหนี้ตามสัญญาค้ำประกันเป็นเงิน 286,354,139.83 บาท จากกองทรัพย์สินของลูกหนี้ที่ 4 ในฐานะเจ้าหนี้ไม่มีประกัน เป็นเจ้าหนี้รายที่ 76 ระหว่างสอบสวนบริษัทบริหารสินทรัพย์สุขุมวิท จำกัด ยื่นคำร้องขอสวมสิทธิแทนเจ้าหนี้ตามพระราชกำหนดบริษัทบริหารสินทรัพย์ พ.ศ.2541 เจ้าพนักงานพิทักษ์ทรัพย์อนุญาต
เจ้าพนักงานพิทักษ์ทรัพย์นัดตรวจคำขอรับชำระหนี้ตามพระราชบัญญัติล้มละลาย พ.ศ.2483 มาตรา 104 แล้ว เจ้าหนี้รายที่ 6 ที่ 83 ที่ 84 และลูกหนี้ที่ 4 โต้แย้งคำขอรับชำระหนี้รายนี้
เจ้าพนักงานพิทักษ์ทรัพย์สอบสวนแล้วทำความเห็นว่า ลูกหนี้ที่ 4 ทำสัญญาค้ำประกันหนี้ของบริษัทริช เรียล เอสเตท จำกัด ลูกหนี้ชั้นต้นที่มีต่อเจ้าหนี้ ในมูลหนี้ตามสัญญากู้เงินและสัญญากู้เบิกเงินเกินบัญชี แล้วผิดนัดไม่ชำระหนี้ เจ้าหนี้ได้ฟ้องลูกหนี้ชั้นต้นและลูกหนี้ที่ 4 ต่อศาลแพ่ง เป็นคดีหมายเลขแดงที่ ธ.5308/2545 ขอให้บังคับชำระหนี้","193/14, 193/15, 193/33, 692",3104/2558
"ทก์เป็นผู้รับประกันภัยประเภทความเสี่ยงต่อทรัพย์สินสำหรับรถเข็นกระเป๋าจากบริษัทไทย แอร์พอร์ตส์ กราวด์ เซอร์วิสเซส จำกัด หรือแท็กซ์ผู้เอาประกันภัย ซึ่งเป็นรถเข็นกระเป๋าที่ผู้เอาประกันภัยทำสัญญารับจ้างให้บริการที่ท่าอากาศยานสุวรรณภูมิกับบริษัทท่าอากาศยานไทย จำกัด (มหาชน) หรือ ทอท. จำเลยเป็นตัวแทนผู้ได้รับมอบหมายจากกลุ่มล็อกซเลย์ - ไอ ซี ที เอส คอนซอร์เตียม ให้เป็นผู้ดูแลรักษาความปลอดภัยในชีวิตและทรัพย์สินภายในท่าอากาศยานสุวรรณภูมิตามสัญญาจ้างให้บริการรักษาความปลอดภัย ณ ท่าอากาศยานสุวรรณภูมิที่กลุ่มล็อกซเลย์ - ไอ ซี ที เอส คอนซอร์เตียม ได้ทำกับบริษัทท่าอากาศยานไทย จำกัด (มหาชน) ต่อมาระหว่างเดือนมิถุนายน 2551 ถึงเดือนสิงหาคม 2551 รถเข็นกระเป๋าของผู้เอาประกันภัยเกิดสูญหายเนื่องจากถูกคนร้ายลักไปจากบริเวณท่าอากาศยานสุวรรณภูมิจำนวน 4,722 คัน รวมเป็นเงิน 5,454,720 บาท โจทก์ชดใช้ค่าสินไหมทดแทนตามสัญญาประกันภัยแก่ผู้เอาประกันภัยเต็มวงเงิน 10,000,000 บาท","420, 880",3568/2558
"โจทก์ทำสัญญาจะซื้อจะขายห้องชุดของโครงการอาคารชุดสาธรยูนีคทาวเวอร์จากจำเลยสองห้องในราคาห้องละ 1,083,800 บาท รวมเป็นเงิน 2,167,600 บาท โดยจำเลยกำหนดให้โจทก์ว่าจ้างบริษัทยูนีคอินทีเรีย จำกัด ตบแต่งห้องชุดทั้งสองห้องในราคาห้องละ 35,000 บาท และสั่งซื้อวัสดุที่ใช้ในการตบแต่งจากบริษัทยูนีคซัพพลายเมททีเรียล จำกัด ในราคาห้องละ 350,000 บาท หลังจากนั้นโจทก์ชำระราคาค่าห้องชุด ค่าวัสดุอุปกรณ์และค่าใช้จ่ายในการตบแต่งห้องชุดให้แก่จำเลย รวมเป็นเงินทั้งสิ้น 1,480,000 บาท แต่ปรากฏว่าจำเลยไม่สามารถก่อสร้างอาคารชุดสาธรยูนีคทาวเวอร์ให้แล้วเสร็จตามสัญญาและไม่สามารถจดทะเบียนโอนกรรมสิทธิ์ให้แก่โจทก์ได้ ต่อมาโจทก์มีหนังสือบอกเลิกสัญญาไปยังจำเลยและขอให้จำเลยคืนเงิน 1,480,000 บาท ให้แก่โจทก์ พร้อมด้วยดอกเบี้ยในอัตราร้อยละ 12 ต่อปี นับแต่วันที่จำเลยผิดนัดเป็นต้นไปจนกว่าจำเลยจะชำระเสร็จ แต่จำเลยปฏิเสธไม่ยอมชำระเงินคืนให้แก่โจทก์ตามที่โจทก์เรียกร้อง",219,16469/2557
"โจทก์ฟ้องให้ศาลเพิกถอนนิติกรรมการจดทะเบียนโอนทรัพย์ที่เป็นสินสมรสที่พันเอก (พิเศษ) พลให้แก่จำเลยที่ 1 โดยเสน่หา โดยปราศจากความยินยอมของโจทก์ โจทก์มีตัวโจทก์เป็นพยานเบิกความว่า ที่ดินพิพาทเป็นสินสมรสที่พันเอก (พิเศษ) พล และโจทก์ต้องจัดการร่วมกัน แต่พันเอก (พิเศษ) พล จดทะเบียนยกที่ดินให้จำเลยที่ 1 โดยโจทก์ซึ่งเป็นคู่สมรสไม่ได้ให้ความยินยอม จำเลยที่ 1 รับโอนทั้งที่เจ้าหน้าที่ที่ดินแจ้งให้ทราบแล้วว่าโจทก์มิได้ให้ความยินยอมในการทำนิติกรรมถือว่ารับโอนโดยไม่สุจริต ส่วนจำเลยที่ 1 มีตัวจำเลยที่ 1 เป็นพยานเบิกความว่า พันเอก (พิเศษ) พล ประกอบธุรกิจค้าขายที่ดิน ทำกิจการบ้านจัดสรร ทำธุรกิจผลไม้กระป๋องส่งออก โดยกู้เงินจากธนาคารทหารไทย จำกัด (มหาชน) ประมาณ 100 ล้านบาท และกู้เงินจากธนาคารกรุงไทย จำกัด (มหาชน) ประมาณ 2,000 ล้านบาท นำที่ดิน 52 แปลง จดทะเบียนจำนองเป็นประกัน ตามสัญญากู้ สัญญาจำนอง ต่อมาพันเอก (พิเศษ) พล ไม่สามารถชำระหนี้ให้ธนาคารทหารไทย จำกัด (มหาชน) ซึ่งขณะนั้นมีหนี้อยู่ประมาณ 100 ล้านบาทเศษได้ ธนาคารทหารไทย จำกัด (มหาชน) เสนอให้เปลี่ยนตัวลูกหนี้ พันเอก (พิเศษ) พล ขอให้จำเลยที่ 1 รับสภาพหนี้แทน จำเลยที่ 1 จึงตกลงเข้าทำสัญญารับสภาพหนี้แล้วเข้าเป็นผู้กู้แทน นำเงินชำระหนี้ของพันเอก (พิเศษ) พล และหนี้บางส่วนของบริษัทชะอำไพน์แอปเปิ้ลแคนเนอรี่ จำกัด ที่มีอยู่กับธนาคารทหารไทย จำกัด (มหาชน) ต่อมาธนาคารทหารไทย จำกัด (มหาชน) คืนโฉนดที่ดินที่จำนองเป็นประกันให้บางส่วนรวมทั้งที่ดินพิพาทด้วย พันเอก (พิเศษ) พล จึงยกที่ดินพิพาทให้จำเลยที่ 1 และมีนางกมลธร พี่สะใภ้ของจำเลยที่ 1 เป็นพยานเบิกความว่า ทราบว่าเมื่อปลายปี 2537 จำเลยที่ 1 ออกเงินไถ่ถอนที่ดินพิพาทกับที่ดินอื่นประมาณ 50 กว่าแปลง เพื่อตอบแทนที่จำเลยที่ 1 ออกเงินไถ่ถอนและช่วยออกเงินหาเสียงเลือกตั้ง พันเอก (พิเศษ) พล ยกที่ดิน 10 แปลง ให้จำเลยที่ 1 กับมีนายประสาธน์ ซึ่งเป็นคนขับรถและเฝ้าบ้านของพันเอก (พิเศษ) พล เป็นพยานเบิกความว่า ระหว่างขับรถพาพันเอก (พิเศษ) พล กับจำเลยที่ 1 ไปธนาคารได้ยินพันเอก (พิเศษ) พล ปรึกษากับจำเลยที่ 1 ถึงการไถ่ถอนจำนองที่ดิน เงินที่ไถ่ถอนเป็นของจำเลยที่ 1 พันเอก (พิเศษ) พล พูดว่าหากไถ่ถอนจำนองแล้วจะยกที่ดินพิพาทให้แก่จำเลยที่ 1 เห็นว่า จำเลยที่ 1 มีสัญญากู้ สัญญาจำนอง บันทึกสรุปภาระหนี้สินของธนาคารทหารไทย จำกัด (มหาชน) สัญญาจำนอง มาแสดง เอกสารดังกล่าวระบุว่าพันเอก (พิเศษ) พล กู้เงินจากธนาคารทหารไทย จำกัด (มหาชน) จำนองที่ดิน 52 แปลง เป็นประกัน ต่อมามีการเปลี่ยนตัวลูกหนี้จากพันเอก (พิเศษ) พล เป็นจำเลยที่ 1 แล้วจำเลยที่ 1 นำหลักทรัพย์เข้าจำนองเป็นประกันหนี้ของพันเอก (พิเศษ) พล ที่มีอยู่กับธนาคารทหารไทย จำกัด (มหาชน) จำนวน 130 ล้านบาท ต่อมาธนาคารทหารไทย จำกัด (มหาชน) ไถ่ถอนจำนองที่ดินให้บางส่วนซึ่งรวมถึงที่ดินพิพาทในคดีนี้ แม้จำเลยที่ 1 จะไม่มีสำเนาเช็คหรือหลักฐานการชำระเงินให้ธนาคารทหารไทย จำกัด (มหาชน) มาแสดง ","1476, 1480",1804/2558
